hotel,canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,avg_daily_rate,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_nights,total_guests,arrival_date,lead_time_category,price_quartile,country_upper,is_online,country_prefix,status_length,market_Complementary,market_Corporate,market_Direct,market_Groups,market_Offline TA/TO,market_Online TA,market_Undefined,star_rating
Resort Hotel,0,342,2015,july,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,0,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,2.0,2015-07-01,Far Advance,Low,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,737,2015,july,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0,0,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,2.0,2015-07-01,Far Advance,Low,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,7,2015,july,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0,0,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,1.0,2015-07-01,Last Minute,Medium,GBR,False,GB,9,False,False,True,False,False,False,False,4
Resort Hotel,0,13,2015,july,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,0,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,1.0,2015-07-01,Short Notice,Medium,GBR,False,GB,9,False,True,False,False,False,False,False,4
Resort Hotel,0,14,2015,july,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,98.0,0,1,Check-Out,2015-07-03,2,2.0,2015-07-01,Short Notice,Medium,GBR,True,GB,9,False,False,False,False,False,True,False,4
Resort Hotel,0,0,2015,july,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,0,0,Check-Out,2015-07-03,2,2.0,2015-07-01,Last Minute,High,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,9,2015,july,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,0,0,Transient,103.0,0,1,Check-Out,2015-07-03,2,2.0,2015-07-01,Short Notice,High,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,1,85,2015,july,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,1,Canceled,2015-05-06,3,2.0,2015-07-01,Planned,Medium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,1,75,2015,july,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,0,Transient,105.5,0,0,Canceled,2015-04-22,3,2.0,2015-07-01,Planned,High,PRT,False,PR,8,False,False,False,False,True,False,False,4
Resort Hotel,1,23,2015,july,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-06-23,4,2.0,2015-07-01,Short Notice,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
