CustomerID,CustomerName,Segment,JoinDate
CUST00001,Customer 0001,Corporate,2021-10-16
CUST00002,Customer 0002,Consumer,2021-02-19
CUST00003,Customer 0003,Small Business,2023-07-05
CUST00004,Customer 0004,Corporate,2023-09-25
CUST00005,Customer 0005,Consumer,2024-02-03
CUST00006,Customer 0006,Small Business,2024-10-19
CUST00007,Customer 0007,Corporate,2022-12-28
CUST00008,Customer 0008,Corporate,2024-04-25
CUST00009,Customer 0009,Consumer,2023-11-12
CUST00010,Customer 0010,Consumer,2022-02-09
CUST00011,Customer 0011,Consumer,2024-05-18
CUST00012,Customer 0012,Small Business,2021-03-19
CUST00013,Customer 0013,Corporate,2023-05-25
CUST00014,Customer 0014,Corporate,2024-10-04
CUST00015,Customer 0015,Consumer,2023-08-21
CUST00016,Customer 0016,Consumer,2024-09-30
CUST00017,Customer 0017,Consumer,2021-03-23
CUST00018,Customer 0018,Consumer,2023-02-17
CUST00019,Customer 0019,Corporate,2024-02-14
CUST00020,Customer 0020,Corporate,2023-07-27
CUST00021,Customer 0021,Corporate,2024-07-09
CUST00022,Customer 0022,Consumer,2022-11-07
CUST00023,Customer 0023,Small Business,2023-09-24
CUST00024,Customer 0024,Small Business,2022-09-05
CUST00025,Customer 0025,Corporate,2024-06-27
CUST00026,Customer 0026,Consumer,2021-06-24
CUST00027,Customer 0027,Consumer,2022-01-07
CUST00028,Customer 0028,Consumer,2021-05-22
CUST00029,Customer 0029,Consumer,2023-10-23
CUST00030,Customer 0030,Corporate,2021-12-06
CUST00031,Customer 0031,Corporate,2022-04-09
CUST00032,Customer 0032,Small Business,2024-05-06
CUST00033,Customer 0033,Consumer,2022-06-10
CUST00034,Customer 0034,Consumer,2021-08-01
CUST00035,Customer 0035,Consumer,2021-01-31
CUST00036,Customer 0036,Consumer,2021-11-27
CUST00037,Customer 0037,Consumer,2024-08-28
CUST00038,Customer 0038,Consumer,2023-03-12
CUST00039,Customer 0039,Consumer,2024-12-23
CUST00040,Customer 0040,Corporate,2021-11-11
CUST00041,Customer 0041,Consumer,2022-05-29
CUST00042,Customer 0042,Corporate,2021-08-27
CUST00043,Customer 0043,Corporate,2022-08-05
CUST00044,Customer 0044,Consumer,2023-04-03
CUST00045,Customer 0045,Corporate,2024-03-25
CUST00046,Customer 0046,Corporate,2022-06-22
CUST00047,Customer 0047,Consumer,2024-02-01
CUST00048,Customer 0048,Consumer,2023-07-04
CUST00049,Customer 0049,Corporate,2022-03-03
CUST00050,Customer 0050,Consumer,2024-08-24
CUST00051,Customer 0051,Consumer,2022-09-26
CUST00052,Customer 0052,Consumer,2021-08-09
CUST00053,Customer 0053,Corporate,2024-11-06
CUST00054,Customer 0054,Corporate,2024-08-26
CUST00055,Customer 0055,Corporate,2021-03-14
CUST00056,Customer 0056,Corporate,2024-08-10
CUST00057,Customer 0057,Consumer,2024-10-15
CUST00058,Customer 0058,Consumer,2024-04-25
CUST00059,Customer 0059,Consumer,2022-01-08
CUST00060,Customer 0060,Consumer,2023-07-11
CUST00061,Customer 0061,Corporate,2023-02-25
CUST00062,Customer 0062,Consumer,2023-06-25
CUST00063,Customer 0063,Consumer,2023-06-20
CUST00064,Customer 0064,Corporate,2023-07-23
CUST00065,Customer 0065,Corporate,2023-01-21
CUST00066,Customer 0066,Consumer,2023-10-06
CUST00067,Customer 0067,Consumer,2023-02-08
CUST00068,Customer 0068,Consumer,2021-01-25
CUST00069,Customer 0069,Consumer,2021-02-21
CUST00070,Customer 0070,Consumer,2024-10-30
CUST00071,Customer 0071,Consumer,2024-08-20
CUST00072,Customer 0072,Consumer,2023-05-05
CUST00073,Customer 0073,Small Business,2021-09-12
CUST00074,Customer 0074,Consumer,2024-02-15
CUST00075,Customer 0075,Consumer,2021-07-29
CUST00076,Customer 0076,Consumer,2022-07-05
CUST00077,Customer 0077,Consumer,2022-04-27
CUST00078,Customer 0078,Corporate,2021-01-19
CUST00079,Customer 0079,Consumer,2024-03-24
CUST00080,Customer 0080,Corporate,2023-01-15
CUST00081,Customer 0081,Corporate,2022-04-07
CUST00082,Customer 0082,Consumer,2023-01-11
CUST00083,Customer 0083,Corporate,2021-01-01
CUST00084,Customer 0084,Consumer,2022-10-01
CUST00085,Customer 0085,Consumer,2023-01-29
CUST00086,Customer 0086,Consumer,2022-05-11
CUST00087,Customer 0087,Corporate,2024-04-27
CUST00088,Customer 0088,Consumer,2021-12-31
CUST00089,Customer 0089,Consumer,2021-07-21
CUST00090,Customer 0090,Consumer,2023-02-10
CUST00091,Customer 0091,Consumer,2024-07-19
CUST00092,Customer 0092,Corporate,2022-07-02
CUST00093,Customer 0093,Consumer,2021-03-10
CUST00094,Customer 0094,Consumer,2024-11-17
CUST00095,Customer 0095,Consumer,2022-10-11
CUST00096,Customer 0096,Corporate,2021-09-10
CUST00097,Customer 0097,Consumer,2023-06-18
CUST00098,Customer 0098,Consumer,2022-04-12
CUST00099,Customer 0099,Consumer,2024-10-01
CUST00100,Customer 0100,Small Business,2022-03-06
CUST00101,Customer 0101,Small Business,2023-03-15
CUST00102,Customer 0102,Corporate,2023-03-05
CUST00103,Customer 0103,Consumer,2021-12-20
CUST00104,Customer 0104,Small Business,2022-12-30
CUST00105,Customer 0105,Corporate,2021-06-09
CUST00106,Customer 0106,Corporate,2023-07-29
CUST00107,Customer 0107,Consumer,2024-01-13
CUST00108,Customer 0108,Consumer,2024-10-19
CUST00109,Customer 0109,Consumer,2022-04-21
CUST00110,Customer 0110,Small Business,2022-02-21
CUST00111,Customer 0111,Consumer,2023-03-13
CUST00112,Customer 0112,Consumer,2023-10-09
CUST00113,Customer 0113,Consumer,2024-12-19
CUST00114,Customer 0114,Consumer,2021-02-06
CUST00115,Customer 0115,Consumer,2021-12-14
CUST00116,Customer 0116,Small Business,2022-01-19
CUST00117,Customer 0117,Corporate,2022-01-08
CUST00118,Customer 0118,Corporate,2022-11-09
CUST00119,Customer 0119,Consumer,2024-06-28
CUST00120,Customer 0120,Corporate,2021-02-15
CUST00121,Customer 0121,Corporate,2024-04-06
CUST00122,Customer 0122,Corporate,2023-06-21
CUST00123,Customer 0123,Consumer,2023-06-18
CUST00124,Customer 0124,Consumer,2023-09-18
CUST00125,Customer 0125,Consumer,2021-06-18
CUST00126,Customer 0126,Consumer,2023-12-27
CUST00127,Customer 0127,Consumer,2021-12-29
CUST00128,Customer 0128,Consumer,2023-01-25
CUST00129,Customer 0129,Consumer,2023-09-16
CUST00130,Customer 0130,Corporate,2023-06-01
CUST00131,Customer 0131,Consumer,2022-04-17
CUST00132,Customer 0132,Small Business,2022-08-02
CUST00133,Customer 0133,Corporate,2022-11-27
CUST00134,Customer 0134,Consumer,2021-03-02
