OrderID,OrderDate,CustomerID,ProductID,BranchID,Quantity,GrossSales,DiscountPct,Amount,Cost,Profit,OrderStatus
ORD000001,2025-12-01,CUST02309,PROD0106,B003,1,718.58,0.0,718.58,431.22,287.36,Completed
ORD000002,2025-06-20,CUST00446,PROD0081,B001,4,532.43,0.2,425.95,396.43,29.52,Completed
ORD000007,2025-11-29,CUST01297,PROD0059,B002,4,3900.0,0.15,3315.0,2466.85,848.15,Completed
ORD000013,2025-07-04,CUST01276,PROD0017,B002,2,1739.19,0.1,1565.27,1263.96,301.31,Completed
ORD000017,2025-10-05,CUST01040,PROD0010,B001,3,5527.66,0.1,4974.9,3215.99,1758.91,Completed
ORD000018,2025-02-24,CUST01185,PROD0057,B003,1,1005.1,0.2,804.08,648.95,155.13,Completed
ORD000023,2025-10-29,CUST00738,PROD0031,B004,1,667.03,0.1,600.33,547.49,52.84,Completed
ORD000024,2025-03-22,CUST02465,PROD0067,B003,4,3627.23,0.15,3083.15,1989.31,1093.84,Completed
ORD000028,2025-11-23,CUST02090,PROD0073,B001,5,914.01,0.0,914.01,599.86,314.15,Completed
ORD000029,2025-01-28,CUST02212,PROD0012,B001,5,648.08,0.05,615.68,437.87,177.81,Completed
ORD000031,2025-06-16,CUST01878,PROD0110,B001,4,3186.86,0.1,2868.17,1852.77,1015.4,Completed
ORD000035,2025-09-27,CUST00036,PROD0037,B002,3,1739.02,0.05,1652.07,1447.68,204.39,Completed
ORD000040,2025-08-15,CUST02071,PROD0118,B002,3,869.65,0.15,739.2,582.5,156.7,Completed
ORD000041,2025-01-13,CUST00659,PROD0051,B004,2,1792.18,0.05,1702.58,1188.1,514.48,Completed
ORD000050,2025-10-19,CUST00889,PROD0118,B003,4,1159.53,0.2,927.63,776.67,150.96,Completed
ORD000055,2025-10-02,CUST01785,PROD0031,B005,2,1334.07,0.0,1334.07,1094.99,239.08,Completed
ORD000059,2025-06-24,CUST01970,PROD0098,B004,4,3997.57,0.2,3198.06,2235.32,962.74,Completed
ORD000062,2025-12-19,CUST02301,PROD0028,B001,4,2920.77,0.0,2920.77,1834.06,1086.71,Completed
ORD000069,2025-10-07,CUST00785,PROD0062,B002,4,2918.12,0.05,2772.22,2314.89,457.33,Completed
ORD000070,2025-12-19,CUST01355,PROD0091,B003,5,2068.37,0.15,1758.12,1576.45,181.67,Completed
ORD000072,2025-05-10,CUST01080,PROD0086,B002,5,2639.34,0.1,2375.41,2003.71,371.7,Completed
